,u,i,ts,label,idx
66,91,119,3542400.0,-1.0,67
67,119,91,3542400.0,-1.0,68
68,37,31,3542400.0,-1.0,69
69,37,3579,3628800.0,-1.0,70
70,3579,54,3628800.0,-1.0,71
71,3579,37,3628800.0,-1.0,72
72,710,2,3715200.0,-1.0,73
73,2,710,3715200.0,-1.0,74
74,119,4,3974400.0,-1.0,75
75,439,4,4233600.0,-1.0,76
76,625,1,4233600.0,-1.0,77
77,91,625,4233600.0,-1.0,78
78,1,744,4233600.0,-1.0,79
79,4,439,4233600.0,-1.0,80
80,1,625,4233600.0,-1.0,81
81,625,91,4233600.0,-1.0,82
82,37,380,4320000.0,-1.0,83
83,40,1401,4320000.0,-1.0,84
84,4,312,4406400.0,-1.0,85
85,3579,293,4406400.0,-1.0,86
86,4,1209,4406400.0,-1.0,87
87,1209,4,4406400.0,-1.0,88
88,917,45,4406400.0,-1.0,89
89,1127,74,4406400.0,-1.0,90
90,74,1127,4406400.0,-1.0,91
91,2,512,4492800.0,-1.0,92
92,512,2,4492800.0,-1.0,93
93,23,40,4579200.0,-1.0,94
94,40,23,4579200.0,-1.0,95
95,23,512,4579200.0,-1.0,96
96,512,23,4579200.0,-1.0,97
97,31,37,4579200.0,-1.0,98
98,74,625,4665600.0,-1.0,99
99,625,74,4665600.0,-1.0,100
100,45,917,4665600.0,-1.0,101
101,40,37,4838400.0,-1.0,102
102,2,917,4838400.0,-1.0,103
103,917,2,4838400.0,-1.0,104
104,37,40,4838400.0,-1.0,105
105,45,251,4924800.0,-1.0,106
106,625,439,4924800.0,-1.0,107
107,439,625,4924800.0,-1.0,108
108,44,40,5011200.0,-1.0,109
109,40,2891,5011200.0,-1.0,110
110,2891,40,5011200.0,-1.0,111
111,625,3731,5011200.0,-1.0,112
112,3731,625,5011200.0,-1.0,113
113,40,44,5011200.0,-1.0,114
114,744,1,5356800.0,-1.0,115
115,744,40,5356800.0,-1.0,116
116,40,744,5356800.0,-1.0,117
117,712,744,5356800.0,-1.0,118
118,744,712,5356800.0,-1.0,119
119,168,91,5443200.0,-1.0,120
120,91,168,5443200.0,-1.0,121
121,744,249,5529600.0,-1.0,122
122,249,744,5616000.0,-1.0,123
123,402,1115,5702400.0,-1.0,124
124,501,4,5702400.0,-1.0,125
125,1469,625,5702400.0,-1.0,126
126,625,1469,5702400.0,-1.0,127
127,1115,402,5702400.0,-1.0,128
128,744,402,5788800.0,-1.0,129
129,402,744,5788800.0,-1.0,130
130,2,436,5961600.0,-1.0,131
131,768,436,5961600.0,-1.0,132
132,436,2,5961600.0,-1.0,133
133,768,23,6134400.0,-1.0,134
134,37,91,6220800.0,-1.0,135
135,91,37,6220800.0,-1.0,136
136,40,989,6220800.0,-1.0,137
137,380,37,6307200.0,-1.0,138
138,1087,23,6393600.0,-1.0,139
139,23,1087,6393600.0,-1.0,140
140,917,1115,6480000.0,-1.0,141
141,1115,917,6480000.0,-1.0,142
142,532,4,6652800.0,-1.0,143
143,4,532,6652800.0,-1.0,144
144,40,379,6739200.0,-1.0,145
145,40,917,6739200.0,-1.0,146
146,917,40,6739200.0,-1.0,147
147,389,45,6825600.0,-1.0,148
148,446,4,6825600.0,-1.0,149
149,74,4,6825600.0,-1.0,150
150,45,389,6825600.0,-1.0,151
151,4,446,6825600.0,-1.0,152
152,389,23,6912000.0,-1.0,153
153,389,293,6912000.0,-1.0,154
154,23,389,6912000.0,-1.0,155
155,389,126,6912000.0,-1.0,156
156,532,91,6998400.0,-1.0,157
157,91,532,6998400.0,-1.0,158
158,113,1127,7084800.0,-1.0,159
159,769,91,7084800.0,-1.0,160
160,91,769,7084800.0,-1.0,161
161,113,769,7084800.0,-1.0,162
162,4,768,7257600.0,-1.0,163
163,768,4,7257600.0,-1.0,164
164,768,2,7257600.0,-1.0,165
165,126,293,7344000.0,-1.0,166
166,44,1087,7344000.0,-1.0,167
167,1087,44,7344000.0,-1.0,168
168,74,1087,7344000.0,-1.0,169
169,23,710,7344000.0,-1.0,170
170,1087,74,7344000.0,-1.0,171
171,2,54,7430400.0,-1.0,172
172,2,74,7430400.0,-1.0,173
173,1209,2,7430400.0,-1.0,174
174,2,1209,7430400.0,-1.0,175
175,293,2,7516800.0,-1.0,176
176,293,402,7516800.0,-1.0,177
177,1909,4,7516800.0,-1.0,178
178,293,113,7516800.0,-1.0,179
179,293,389,7516800.0,-1.0,180
180,4,1909,7516800.0,-1.0,181
181,293,3579,7516800.0,-1.0,182
182,293,91,7516800.0,-1.0,183
183,293,126,7516800.0,-1.0,184
184,293,74,7516800.0,-1.0,185
185,293,439,7516800.0,-1.0,186
186,40,45,7603200.0,-1.0,187
187,989,40,7603200.0,-1.0,188
188,31,379,7603200.0,-1.0,189
189,45,40,7603200.0,-1.0,190
190,131,561,7689600.0,-1.0,191
191,131,145,7689600.0,-1.0,192
192,131,74,7689600.0,-1.0,193
193,561,131,7689600.0,-1.0,194
194,145,131,7689600.0,-1.0,195
195,148,54,7862400.0,-1.0,196
196,121,512,7862400.0,-1.0,197
197,54,148,7862400.0,-1.0,198
198,512,121,7862400.0,-1.0,199
199,439,148,7948800.0,-1.0,200
200,379,31,7948800.0,-1.0,201
201,148,439,7948800.0,-1.0,202
202,379,40,7948800.0,-1.0,203
203,249,402,7948800.0,-1.0,204
204,148,768,8035200.0,-1.0,205
205,446,2,8035200.0,-1.0,206
206,148,270,8035200.0,-1.0,207
207,270,148,8035200.0,-1.0,208
208,768,148,8035200.0,-1.0,209
209,402,249,8121600.0,-1.0,210
210,768,446,8121600.0,-1.0,211
211,2103,4,8121600.0,-1.0,212
212,45,768,8121600.0,-1.0,213
213,2103,40,8121600.0,-1.0,214
214,768,45,8121600.0,-1.0,215
215,40,2103,8121600.0,-1.0,216
216,446,768,8121600.0,-1.0,217
217,4,2103,8121600.0,-1.0,218
218,4,23,8208000.0,-1.0,219
219,4,237,8208000.0,-1.0,220
220,23,768,8208000.0,-1.0,221
221,148,1409,8294400.0,-1.0,222
222,512,148,8294400.0,-1.0,223
223,270,237,8294400.0,-1.0,224
224,237,270,8294400.0,-1.0,225
225,1409,148,8294400.0,-1.0,226
226,148,119,8294400.0,-1.0,227
227,237,4,8294400.0,-1.0,228
228,379,223,8380800.0,-1.0,229
229,379,1209,8380800.0,-1.0,230
230,2,379,8380800.0,-1.0,231
231,466,379,8380800.0,-1.0,232
232,466,148,8380800.0,-1.0,233
233,379,2,8380800.0,-1.0,234
234,54,466,8380800.0,-1.0,235
235,379,466,8380800.0,-1.0,236
236,148,466,8380800.0,-1.0,237
237,466,54,8380800.0,-1.0,238
238,223,379,8380800.0,-1.0,239
239,109,148,8467200.0,-1.0,240
240,1401,148,8467200.0,-1.0,241
241,270,379,8467200.0,-1.0,242
242,148,109,8467200.0,-1.0,243
243,379,270,8467200.0,-1.0,244
244,460,54,8553600.0,-1.0,245
245,74,131,8553600.0,-1.0,246
246,2698,2,8553600.0,-1.0,247
247,40,1226,8553600.0,-1.0,248
248,23,1919,8553600.0,-1.0,249
249,1226,40,8553600.0,-1.0,250
250,2,2698,8553600.0,-1.0,251
251,119,148,8553600.0,-1.0,252
252,1230,379,8640000.0,-1.0,253
253,3506,1401,8640000.0,-1.0,254
254,40,1919,8640000.0,-1.0,255
255,379,54,8640000.0,-1.0,256
256,54,379,8640000.0,-1.0,257
257,109,379,8640000.0,-1.0,258
258,1919,40,8640000.0,-1.0,259
259,148,840,8640000.0,-1.0,260
260,44,711,8640000.0,-1.0,261
261,840,148,8640000.0,-1.0,262
262,152,1628,8640000.0,-1.0,263
263,1628,152,8640000.0,-1.0,264
264,148,3506,8640000.0,-1.0,265
265,512,152,8640000.0,-1.0,266
266,379,1230,8640000.0,-1.0,267
267,131,148,8640000.0,-1.0,268
268,379,109,8640000.0,-1.0,269
269,148,131,8640000.0,-1.0,270
270,148,1401,8640000.0,-1.0,271
271,148,152,8726400.0,-1.0,272
272,40,1600,8726400.0,-1.0,273
273,4,710,8726400.0,-1.0,274
274,1600,40,8726400.0,-1.0,275
275,152,148,8726400.0,-1.0,276
276,710,4,8726400.0,-1.0,277
277,148,40,8812800.0,-1.0,278
278,935,23,8812800.0,-1.0,279
279,769,2,8812800.0,-1.0,280
280,40,148,8812800.0,-1.0,281
281,711,44,8812800.0,-1.0,282
282,23,935,8812800.0,-1.0,283
283,2,769,8812800.0,-1.0,284
284,2,446,8812800.0,-1.0,285
285,769,460,8899200.0,-1.0,286
286,769,152,8899200.0,-1.0,287
287,769,119,8899200.0,-1.0,288
288,460,512,8899200.0,-1.0,289
289,119,769,8899200.0,-1.0,290
290,148,512,8899200.0,-1.0,291
291,512,460,8899200.0,-1.0,292
292,4,1270,8899200.0,-1.0,293
293,460,769,8899200.0,-1.0,294
294,1270,4,8899200.0,-1.0,295
295,152,769,8899200.0,-1.0,296
296,44,148,8985600.0,-1.0,297
297,148,44,8985600.0,-1.0,298
298,40,851,9072000.0,-1.0,299
299,1600,148,9072000.0,-1.0,300
300,2,4,9072000.0,-1.0,301
301,4,2,9072000.0,-1.0,302
302,851,40,9072000.0,-1.0,303
303,152,54,9072000.0,-1.0,304
304,148,1600,9072000.0,-1.0,305
305,54,152,9072000.0,-1.0,306
306,223,251,9158400.0,-1.0,307
307,251,223,9158400.0,-1.0,308
308,1401,40,9158400.0,-1.0,309
309,54,531,9244800.0,-1.0,310
310,531,54,9244800.0,-1.0,311
311,3506,531,9244800.0,-1.0,312
312,531,3506,9244800.0,-1.0,313
313,379,44,9331200.0,-1.0,314
314,234,40,9331200.0,-1.0,315
315,40,234,9331200.0,-1.0,316
316,148,1913,9417600.0,-1.0,317
317,531,45,9417600.0,-1.0,318
318,531,131,9417600.0,-1.0,319
319,531,840,9417600.0,-1.0,320
320,1913,148,9417600.0,-1.0,321
321,131,531,9417600.0,-1.0,322
322,23,44,9417600.0,-1.0,323
323,45,531,9417600.0,-1.0,324
324,23,2438,9417600.0,-1.0,325
325,106,297,9417600.0,-1.0,326
326,40,1077,9417600.0,-1.0,327
327,2438,23,9417600.0,-1.0,328
328,297,106,9417600.0,-1.0,329
329,840,531,9417600.0,-1.0,330
330,109,1270,9504000.0,-1.0,331
331,1921,1270,9504000.0,-1.0,332
332,1270,109,9504000.0,-1.0,333
333,4,531,9504000.0,-1.0,334
334,1270,1921,9504000.0,-1.0,335
335,297,1212,9504000.0,-1.0,336
336,109,108,9590400.0,-1.0,337
337,108,109,9590400.0,-1.0,338
338,626,152,9590400.0,-1.0,339
339,1401,2,9590400.0,-1.0,340
340,1401,3731,9590400.0,-1.0,341
341,152,626,9590400.0,-1.0,342
342,3731,1401,9590400.0,-1.0,343
343,109,223,9676800.0,-1.0,344
344,774,531,9676800.0,-1.0,345
345,1226,23,9676800.0,-1.0,346
346,840,54,9676800.0,-1.0,347
347,23,1226,9676800.0,-1.0,348
348,223,109,9676800.0,-1.0,349
349,54,840,9676800.0,-1.0,350
350,2,312,9676800.0,-1.0,351
351,531,774,9676800.0,-1.0,352
352,1077,40,9676800.0,-1.0,353
353,148,1099,9763200.0,-1.0,354
354,223,145,9763200.0,-1.0,355
355,148,139,9763200.0,-1.0,356
356,1099,145,9763200.0,-1.0,357
357,1099,109,9763200.0,-1.0,358
358,139,148,9763200.0,-1.0,359
359,145,223,9763200.0,-1.0,360
360,109,1099,9763200.0,-1.0,361
361,145,1099,9763200.0,-1.0,362
362,1099,148,9763200.0,-1.0,363
363,45,466,9849600.0,-1.0,364
364,193,4,9849600.0,-1.0,365
365,4,512,9849600.0,-1.0,366
366,4,193,9849600.0,-1.0,367
367,512,4,9849600.0,-1.0,368
368,466,45,9849600.0,-1.0,369
369,251,4,9849600.0,-1.0,370
370,4,1908,9936000.0,-1.0,371
371,1212,297,9936000.0,-1.0,372
372,4,250,9936000.0,-1.0,373
373,250,4,9936000.0,-1.0,374
374,1908,4,9936000.0,-1.0,375
375,4,1816,10022400.0,-1.0,376
376,1816,4,10022400.0,-1.0,377
377,1076,44,10022400.0,-1.0,378
378,44,1076,10022400.0,-1.0,379
379,512,109,10022400.0,-1.0,380
380,44,131,10195200.0,-1.0,381
381,131,44,10195200.0,-1.0,382
382,1131,44,10195200.0,-1.0,383
383,44,1131,10195200.0,-1.0,384
384,44,379,10195200.0,-1.0,385
385,23,139,10281600.0,-1.0,386
386,379,4,10281600.0,-1.0,387
387,165,223,10281600.0,-1.0,388
388,44,106,10281600.0,-1.0,389
389,106,44,10281600.0,-1.0,390
390,139,23,10281600.0,-1.0,391
391,54,2,10281600.0,-1.0,392
392,223,165,10281600.0,-1.0,393
393,23,108,10368000.0,-1.0,394
394,1601,108,10454400.0,-1.0,395
395,2439,4,10454400.0,-1.0,396
396,108,1601,10454400.0,-1.0,397
397,4,2439,10454400.0,-1.0,398
398,4,1,10454400.0,-1.0,399
399,1601,23,10454400.0,-1.0,400
400,1398,23,10454400.0,-1.0,401
401,23,1398,10454400.0,-1.0,402
402,23,1601,10454400.0,-1.0,403
403,23,99,10540800.0,-1.0,404
404,3731,2440,10540800.0,-1.0,405
405,2440,3731,10540800.0,-1.0,406
406,99,23,10540800.0,-1.0,407
407,23,1131,10540800.0,-1.0,408
408,23,84,10713600.0,-1.0,409
409,4,840,10713600.0,-1.0,410
410,23,1078,10713600.0,-1.0,411
411,1078,23,10713600.0,-1.0,412
412,840,4,10713600.0,-1.0,413
413,468,4,10800000.0,-1.0,414
414,4,468,10800000.0,-1.0,415
415,84,148,10800000.0,-1.0,416
416,148,84,10800000.0,-1.0,417
417,4,3729,10969200.0,-1.0,418
418,16,768,10969200.0,-1.0,419
419,466,23,10969200.0,-1.0,420
420,1,4,10969200.0,-1.0,421
421,768,16,10969200.0,-1.0,422
422,654,466,10969200.0,-1.0,423
423,23,2441,10969200.0,-1.0,424
424,1601,606,10969200.0,-1.0,425
425,606,1601,10969200.0,-1.0,426
426,4,379,10969200.0,-1.0,427
427,466,654,10969200.0,-1.0,428
428,1401,23,11055600.0,-1.0,429
429,419,606,11055600.0,-1.0,430
430,23,1401,11055600.0,-1.0,431
431,468,3731,11055600.0,-1.0,432
432,606,419,11055600.0,-1.0,433
433,1401,4,11055600.0,-1.0,434
434,841,4,11055600.0,-1.0,435
435,23,153,11142000.0,-1.0,436
436,4,2442,11142000.0,-1.0,437
437,2442,4,11142000.0,-1.0,438
438,466,223,11228400.0,-1.0,439
439,23,466,11228400.0,-1.0,440
440,223,466,11228400.0,-1.0,441
441,4,419,11314800.0,-1.0,442
442,152,153,11401200.0,-1.0,443
443,562,4,11487600.0,-1.0,444
444,4,249,11487600.0,-1.0,445
445,4,841,11487600.0,-1.0,446
446,1910,16,11574000.0,-1.0,447
447,468,10,11574000.0,-1.0,448
448,16,1910,11574000.0,-1.0,449
449,249,4,11574000.0,-1.0,450
450,710,23,11574000.0,-1.0,451
451,152,44,11574000.0,-1.0,452
452,44,152,11574000.0,-1.0,453
453,10,468,11574000.0,-1.0,454
454,842,4,11660400.0,-1.0,455
455,436,270,11660400.0,-1.0,456
456,842,16,11660400.0,-1.0,457
457,23,1911,11660400.0,-1.0,458
458,270,436,11660400.0,-1.0,459
459,234,1910,11660400.0,-1.0,460
460,23,842,11660400.0,-1.0,461
461,152,3731,11660400.0,-1.0,462
462,44,23,11660400.0,-1.0,463
463,842,99,11660400.0,-1.0,464
464,419,4,11660400.0,-1.0,465
465,16,842,11660400.0,-1.0,466
466,842,153,11660400.0,-1.0,467
467,1911,23,11660400.0,-1.0,468
468,842,148,11660400.0,-1.0,469
469,842,23,11660400.0,-1.0,470
470,63,223,11746800.0,-1.0,471
471,1,379,11746800.0,-1.0,472
472,711,223,11746800.0,-1.0,473
473,4,842,11746800.0,-1.0,474
474,99,842,11746800.0,-1.0,475
475,223,63,11746800.0,-1.0,476
476,223,711,11746800.0,-1.0,477
477,145,298,11746800.0,-1.0,478
478,1077,389,11833200.0,-1.0,479
479,152,91,11833200.0,-1.0,480
480,298,1210,11833200.0,-1.0,481
481,1210,298,11833200.0,-1.0,482
482,145,3506,11833200.0,-1.0,483
483,711,16,11833200.0,-1.0,484
484,91,152,11833200.0,-1.0,485
485,1080,23,11919600.0,-1.0,486
486,153,842,11919600.0,-1.0,487
487,908,23,11919600.0,-1.0,488
488,23,1080,11919600.0,-1.0,489
489,23,908,11919600.0,-1.0,490
490,99,562,11919600.0,-1.0,491
491,353,379,12006000.0,-1.0,492
492,353,1212,12006000.0,-1.0,493
493,1212,2444,12006000.0,-1.0,494
494,1212,353,12006000.0,-1.0,495
495,23,4,12092400.0,-1.0,496
496,1603,2,12092400.0,-1.0,497
497,23,500,12092400.0,-1.0,498
498,353,99,12092400.0,-1.0,499
499,1603,153,12092400.0,-1.0,500
500,23,2,12092400.0,-1.0,501
501,2,986,12092400.0,-1.0,502
502,2,148,12092400.0,-1.0,503
503,99,353,12092400.0,-1.0,504
504,99,2,12092400.0,-1.0,505
505,2,1603,12092400.0,-1.0,506
506,2,469,12092400.0,-1.0,507
507,1212,16,12092400.0,-1.0,508
508,16,1212,12092400.0,-1.0,509
509,986,2,12092400.0,-1.0,510
510,91,54,12092400.0,-1.0,511
511,23,401,12178800.0,-1.0,512
512,23,298,12178800.0,-1.0,513
513,1603,297,12178800.0,-1.0,514
514,23,138,12265200.0,-1.0,515
515,23,1402,12265200.0,-1.0,516
516,1908,1078,12265200.0,-1.0,517
517,1402,23,12265200.0,-1.0,518
518,1078,1908,12265200.0,-1.0,519
519,2,44,12351600.0,-1.0,520
520,3731,152,12351600.0,-1.0,521
521,419,1214,12351600.0,-1.0,522
522,1602,4,12351600.0,-1.0,523
523,1214,419,12351600.0,-1.0,524
524,44,2,12351600.0,-1.0,525
525,4,1602,12351600.0,-1.0,526
526,250,2,12351600.0,-1.0,527
527,99,106,12351600.0,-1.0,528
528,23,1400,12438000.0,-1.0,529
529,419,987,12438000.0,-1.0,530
530,1400,23,12438000.0,-1.0,531
531,987,419,12438000.0,-1.0,532
532,365,4,12524400.0,-1.0,533
533,44,16,12524400.0,-1.0,534
534,311,4,12524400.0,-1.0,535
535,16,44,12524400.0,-1.0,536
536,438,45,12610800.0,-1.0,537
537,152,988,12610800.0,-1.0,538
538,16,2445,12610800.0,-1.0,539
539,1914,16,12610800.0,-1.0,540
540,988,152,12610800.0,-1.0,541
541,91,438,12610800.0,-1.0,542
542,438,91,12610800.0,-1.0,543
543,16,1914,12610800.0,-1.0,544
544,2445,16,12610800.0,-1.0,545
545,3729,4,12697200.0,-1.0,546
546,419,771,12697200.0,-1.0,547
547,354,1402,12697200.0,-1.0,548
548,91,223,12697200.0,-1.0,549
549,145,54,12697200.0,-1.0,550
550,16,145,12697200.0,-1.0,551
551,223,91,12697200.0,-1.0,552
552,54,3731,12697200.0,-1.0,553
553,54,293,12697200.0,-1.0,554
554,2,45,12697200.0,-1.0,555
555,1402,354,12697200.0,-1.0,556
556,4,380,12697200.0,-1.0,557
557,54,23,12697200.0,-1.0,558
558,3731,1400,12697200.0,-1.0,559
559,4,119,12697200.0,-1.0,560
560,45,2,12697200.0,-1.0,561
561,771,419,12697200.0,-1.0,562
562,1400,3731,12697200.0,-1.0,563
563,4,40,12697200.0,-1.0,564
564,4,91,12697200.0,-1.0,565
565,54,4,12697200.0,-1.0,566
566,656,23,12697200.0,-1.0,567
567,4,54,12697200.0,-1.0,568
568,4,3731,12697200.0,-1.0,569
569,145,16,12697200.0,-1.0,570
570,23,656,12697200.0,-1.0,571
571,16,710,12783600.0,-1.0,572
572,16,607,12783600.0,-1.0,573
573,251,45,12783600.0,-1.0,574
574,2446,2,12783600.0,-1.0,575
575,251,3729,12783600.0,-1.0,576
576,710,16,12783600.0,-1.0,577
577,251,354,12783600.0,-1.0,578
578,846,1,12783600.0,-1.0,579
579,251,152,12783600.0,-1.0,580
580,607,23,12783600.0,-1.0,581
581,23,844,12783600.0,-1.0,582
582,3729,251,12783600.0,-1.0,583
583,844,23,12783600.0,-1.0,584
584,152,251,12783600.0,-1.0,585
585,2,2446,12783600.0,-1.0,586
586,354,251,12783600.0,-1.0,587
587,710,769,12783600.0,-1.0,588
588,401,23,12783600.0,-1.0,589
589,1,846,12783600.0,-1.0,590
590,2,200,12783600.0,-1.0,591
591,23,847,12870000.0,-1.0,592
592,419,531,12870000.0,-1.0,593
593,224,63,12870000.0,-1.0,594
594,23,607,12870000.0,-1.0,595
595,63,224,12870000.0,-1.0,596
596,847,23,12870000.0,-1.0,597
597,531,419,12870000.0,-1.0,598
598,200,847,12870000.0,-1.0,599
599,23,503,12870000.0,-1.0,600
600,1,1606,12870000.0,-1.0,601
601,1606,1,12870000.0,-1.0,602
602,200,607,12870000.0,-1.0,603
603,847,200,12870000.0,-1.0,604
604,607,200,12870000.0,-1.0,605
605,380,119,12870000.0,-1.0,606
606,23,2447,12956400.0,-1.0,607
607,2447,23,12956400.0,-1.0,608
608,23,437,12956400.0,-1.0,609
609,437,23,12956400.0,-1.0,610
610,3452,712,12956400.0,-1.0,611
611,503,16,13042800.0,-1.0,612
612,503,2,13042800.0,-1.0,613
613,2,987,13042800.0,-1.0,614
614,844,851,13042800.0,-1.0,615
615,501,44,13042800.0,-1.0,616
616,23,129,13042800.0,-1.0,617
617,44,501,13042800.0,-1.0,618
618,503,200,13042800.0,-1.0,619
619,2,503,13042800.0,-1.0,620
620,531,4,13042800.0,-1.0,621
621,501,23,13042800.0,-1.0,622
622,2443,23,13042800.0,-1.0,623
623,223,4,13042800.0,-1.0,624
624,200,503,13042800.0,-1.0,625
625,23,501,13042800.0,-1.0,626
626,503,23,13042800.0,-1.0,627
627,503,99,13042800.0,-1.0,628
628,99,503,13042800.0,-1.0,629
629,987,2,13042800.0,-1.0,630
630,4,223,13042800.0,-1.0,631
631,419,149,13042800.0,-1.0,632
632,23,2443,13042800.0,-1.0,633
633,149,419,13042800.0,-1.0,634
634,1916,1607,13129200.0,-1.0,635
635,1607,1916,13129200.0,-1.0,636
636,45,353,13129200.0,-1.0,637
637,1607,113,13129200.0,-1.0,638
638,113,1607,13129200.0,-1.0,639
639,504,2,13215600.0,-1.0,640
640,4,3580,13215600.0,-1.0,641
641,2,3580,13215600.0,-1.0,642
642,2,504,13215600.0,-1.0,643
643,74,1605,13302000.0,-1.0,644
644,149,711,13302000.0,-1.0,645
645,771,16,13302000.0,-1.0,646
646,16,771,13302000.0,-1.0,647
647,841,909,13302000.0,-1.0,648
648,909,841,13302000.0,-1.0,649
649,607,131,13302000.0,-1.0,650
650,607,769,13302000.0,-1.0,651
651,237,16,13388400.0,-1.0,652
652,16,237,13388400.0,-1.0,653
653,655,773,13388400.0,-1.0,654
654,770,23,13388400.0,-1.0,655
655,2448,1,13388400.0,-1.0,656
656,23,770,13388400.0,-1.0,657
657,23,843,13388400.0,-1.0,658
658,773,655,13388400.0,-1.0,659
659,237,40,13388400.0,-1.0,660
660,656,237,13388400.0,-1.0,661
661,237,656,13388400.0,-1.0,662
662,236,23,13388400.0,-1.0,663
663,152,236,13388400.0,-1.0,664
664,1,2448,13388400.0,-1.0,665
665,655,63,13388400.0,-1.0,666
666,40,237,13388400.0,-1.0,667
667,502,113,13388400.0,-1.0,668
668,845,63,13388400.0,-1.0,669
669,113,502,13388400.0,-1.0,670
670,63,845,13388400.0,-1.0,671
671,63,655,13388400.0,-1.0,672
672,236,152,13388400.0,-1.0,673
673,23,773,13474800.0,-1.0,674
674,2,532,13474800.0,-1.0,675
675,655,106,13474800.0,-1.0,676
676,16,138,13474800.0,-1.0,677
677,224,234,13474800.0,-1.0,678
678,711,4,13474800.0,-1.0,679
679,106,655,13474800.0,-1.0,680
680,106,311,13474800.0,-1.0,681
681,311,106,13474800.0,-1.0,682
682,45,4,13474800.0,-1.0,683
683,1921,2,13474800.0,-1.0,684
684,1922,2,13561200.0,-1.0,685
685,4,437,13561200.0,-1.0,686
686,23,293,13561200.0,-1.0,687
687,23,504,13561200.0,-1.0,688
688,138,16,13561200.0,-1.0,689
689,16,711,13561200.0,-1.0,690
690,74,1402,13561200.0,-1.0,691
691,366,655,13561200.0,-1.0,692
692,504,23,13561200.0,-1.0,693
693,23,167,13561200.0,-1.0,694
694,2,1922,13561200.0,-1.0,695
695,655,366,13561200.0,-1.0,696
696,353,119,13647600.0,-1.0,697
697,1081,150,13647600.0,-1.0,698
698,16,655,13647600.0,-1.0,699
699,2,237,13647600.0,-1.0,700
700,149,237,13647600.0,-1.0,701
701,237,149,13647600.0,-1.0,702
702,23,1082,13647600.0,-1.0,703
703,655,45,13647600.0,-1.0,704
704,150,1081,13647600.0,-1.0,705
705,353,45,13647600.0,-1.0,706
706,109,711,13647600.0,-1.0,707
707,109,512,13647600.0,-1.0,708
708,234,224,13647600.0,-1.0,709
709,23,713,13647600.0,-1.0,710
710,4,773,13647600.0,-1.0,711
711,353,532,13647600.0,-1.0,712
712,1082,23,13647600.0,-1.0,713
713,237,1219,13647600.0,-1.0,714
714,419,655,13647600.0,-1.0,715
715,237,167,13647600.0,-1.0,716
716,1219,237,13647600.0,-1.0,717
717,655,16,13647600.0,-1.0,718
718,773,4,13647600.0,-1.0,719
719,209,2,13647600.0,-1.0,720
720,655,419,13647600.0,-1.0,721
721,167,23,13647600.0,-1.0,722
722,713,23,13647600.0,-1.0,723
723,237,2,13647600.0,-1.0,724
724,2,209,13647600.0,-1.0,725
